"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
六腳鄉,灣北村,211,141309,670,523,289,873,513.68,76.70
六腳鄉,雙涵村,142,100412,707,568,330,981,545.66,77.17
六腳鄉,塗師村,117,72614,621,517,307,816,442.41,71.28
六腳鄉,三義村,114,73295,643,529,357,786,524.60,81.59
六腳鄉,港美村,160,101355,633,528,295,817,517.31,81.66
六腳鄉,豐美村,207,137264,663,484,317,822,635.54,95.84
六腳鄉,六斗村,189,125662,665,570,326,844,508.86,76.53
六腳鄉,崙陽村,237,168946,713,524,308,912,656.77,92.13
六腳鄉,蘇厝村,330,217746,660,495,289,854,578.01,87.60
六腳鄉,竹本村,102,55107,540,440,251,709,439.81,81.41
六腳鄉,永賢村,70,45959,657,501,339,932,470.43,71.65
六腳鄉,魚寮村,98,63497,648,518,344,901,471.52,72.77
六腳鄉,潭墘村,162,113746,702,546,334,953,553.60,78.85
六腳鄉,正義村,251,163618,652,573,316,867,460.42,70.63
六腳鄉,溪厝村,118,69410,588,533,309,725,444.11,75.50
六腳鄉,六南村,103,71036,690,540,319,909,530.81,76.97
六腳鄉,六腳村,164,107889,658,569,349,900,480.51,73.04
六腳鄉,崩山村,99,67818,685,547,358,921,521.70,76.16
六腳鄉,古林村,97,84288,869,590,362,806,1449.89,166.86
六腳鄉,更寮村,100,89992,900,507,304,912,1644.61,182.75
東石鄉,東石村,257,156832,610,494,328,763,451.52,73.99
東石鄉,猿樹村,150,99869,666,458,280,880,766.34,115.10
東石鄉,型厝村,214,128203,599,488,327,759,453.32,75.67
東石鄉,三家村,211,133113,631,553,360,783,458.71,72.71
東石鄉,永屯村,124,70455,568,430,225,795,500.35,88.06
東石鄉,海埔村,52,30505,587,441,263,709,563.99,96.14
東石鄉,龍港村,127,88476,697,529,327,814,738.23,105.97
東石鄉,副瀨村,145,106141,732,540,371,838,757.56,103.49
東石鄉,下揖村,96,49128,512,463,292,633,339.13,66.27
東石鄉,頂揖村,52,35765,688,451,277,722,855.58,124.40
東石鄉,溪下村,134,85366,637,483,292,909,516.71,81.11
東石鄉,港口村,43,22459,522,423,314,683,368.28,70.51
東石鄉,鰲鼓村,221,137755,623,506,321,758,514.30,82.51
東石鄉,港墘村,206,197511,959,596,334,929,2249.90,234.66
東石鄉,蔦松村,169,109526,648,531,320,831,479.48,73.98
東石鄉,圍潭村,83,56947,686,565,323,795,567.20,82.67
東石鄉,洲仔村,137,85419,623,482,295,782,667.18,107.01
東石鄉,東崙村,135,91160,675,542,294,878,628.07,93.01
東石鄉,西崙村,218,146143,670,529,331,844,567.99,84.73
東石鄉,網寮村,175,104335,596,480,307,736,431.92,72.44
東石鄉,掌潭村,120,74169,618,494,319,771,517.93,83.80
義竹鄉,岸腳村,147,97595,664,543,335,806,518.58,78.11
義竹鄉,義竹村,379,286167,755,583,367,948,652.69,86.44
義竹鄉,六桂村,284,193021,680,551,338,871,487.77,71.77
義竹鄉,仁里村,218,162502,745,569,361,950,598.98,80.35
義竹鄉,傳芳村,155,95344,615,500,333,760,445.19,72.37
義竹鄉,頭竹村,260,205501,790,566,369,973,689.99,87.30
義竹鄉,五厝村,94,66821,711,543,354,792,767.30,107.94
義竹鄉,中平村,69,50767,736,551,307,1026,573.58,77.96
義竹鄉,埤前村,146,106054,726,597,349,946,566.09,77.93
義竹鄉,平溪村,84,58598,698,505,318,839,594.85,85.27
義竹鄉,後鎮村,96,53905,562,470,268,718,440.01,78.36
義竹鄉,北華村,122,68953,565,454,262,729,443.30,78.43
義竹鄉,新店村,269,190578,708,542,357,917,536.25,75.69
義竹鄉,東過村,160,97065,607,508,335,754,446.23,73.56
義竹鄉,西過村,158,87497,554,417,245,693,668.29,120.68
義竹鄉,官和村,133,84426,635,538,297,786,513.18,80.84
義竹鄉,官順村,83,48334,582,466,285,751,486.58,83.56
義竹鄉,新富村,113,73882,654,540,302,846,520.85,79.66
義竹鄉,東光村,156,108023,692,539,305,908,593.54,85.72
義竹鄉,東榮村,66,46125,699,472,326,857,725.41,103.80
義竹鄉,龍蛟村,104,64988,625,538,276,733,577.81,92.47
義竹鄉,溪洲村,110,64824,589,543,305,770,406.89,69.05
鹿草鄉,後寮村,91,68063,748,592,430,815,592.50,79.22
鹿草鄉,鹿東村,123,88428,719,583,349,932,519.45,72.25
鹿草鄉,鹿草村,295,188144,638,532,316,791,497.81,78.05
鹿草鄉,西井村,320,229462,717,537,308,951,602.54,84.03
鹿草鄉,豐稠村,128,89433,699,618,361,927,472.02,67.56
鹿草鄉,重寮村,191,125221,656,489,344,781,516.60,78.80
鹿草鄉,施家村,99,66097,668,508,328,840,557.61,83.52
鹿草鄉,下潭村,125,87759,702,582,341,915,490.38,69.85
